 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:10.011 	Info 	38290024-2 	MoveToPosition Requested 	Position = 355
2023-04-18 16:07:10.078 	Info 	38290024 	Waiting
2023-04-18 16:07:10.596 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:10.601 	Info 	38290024-2 	MoveToPosition Requested 	Position = 363
2023-04-18 16:07:10.669 	Info 	38290024 	Waiting
2023-04-18 16:07:11.175 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:11.198 	Info 	38290024-2 	MoveToPosition Requested 	Position = 371
2023-04-18 16:07:11.254 	Info 	38290024 	Waiting
2023-04-18 16:07:11.768 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:11.775 	Info 	38290024-2 	MoveToPosition Requested 	Position = 379
2023-04-18 16:07:11.832 	Info 	38290024 	Waiting
2023-04-18 16:07:12.355 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:12.359 	Info 	38290024-2 	MoveToPosition Requested 	Position = 387
2023-04-18 16:07:12.426 	Info 	38290024 	Waiting
2023-04-18 16:07:12.946 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:12.953 	Info 	38290024-2 	MoveToPosition Requested 	Position = 395
2023-04-18 16:07:13.023 	Info 	38290024 	Waiting
2023-04-18 16:07:13.540 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:13.544 	Info 	38290024-2 	MoveToPosition Requested 	Position = 403
2023-04-18 16:07:13.594 	Info 	38290024 	Waiting
2023-04-18 16:07:14.115 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:14.119 	Info 	38290024-2 	MoveToPosition Requested 	Position = 411
2023-04-18 16:07:14.171 	Info 	38290024 	Waiting
2023-04-18 16:07:14.689 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:14.692 	Info 	38290024-2 	MoveToPosition Requested 	Position = 419
2023-04-18 16:07:14.765 	Info 	38290024 	Waiting
2023-04-18 16:07:15.283 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:15.286 	Info 	38290024-2 	MoveToPosition Requested 	Position = 427
2023-04-18 16:07:15.362 	Info 	38290024 	Waiting
2023-04-18 16:07:15.877 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:15.883 	Info 	38290024-2 	MoveToPosition Requested 	Position = 435
2023-04-18 16:07:15.932 	Info 	38290024 	Waiting
2023-04-18 16:07:16.450 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:16.454 	Info 	38290024-2 	MoveToPosition Requested 	Position = 443
2023-04-18 16:07:16.510 	Info 	38290024 	Waiting
2023-04-18 16:07:17.019 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:17.023 	Info 	38290024-2 	MoveToPosition Requested 	Position = 451
2023-04-18 16:07:17.085 	Info 	38290024 	Waiting
2023-04-18 16:07:17.604 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:17.613 	Info 	38290024-2 	MoveToPosition Requested 	Position = 459
2023-04-18 16:07:17.664 	Info 	38290024 	Waiting
2023-04-18 16:07:18.178 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:18.196 	Info 	38290024-2 	MoveToPosition Requested 	Position = 467
2023-04-18 16:07:18.257 	Info 	38290024 	Waiting
2023-04-18 16:07:18.770 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:18.778 	Info 	38290024-2 	MoveToPosition Requested 	Position = 475
2023-04-18 16:07:18.839 	Info 	38290024 	Waiting
2023-04-18 16:07:19.357 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:19.361 	Info 	38290024-2 	MoveToPosition Requested 	Position = 484
2023-04-18 16:07:19.425 	Info 	38290024 	Waiting
2023-04-18 16:07:19.940 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:19.944 	Info 	38290024-2 	MoveToPosition Requested 	Position = 492
2023-04-18 16:07:20.004 	Info 	38290024 	Waiting
2023-04-18 16:07:20.518 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:20.522 	Info 	38290024-2 	MoveToPosition Requested 	Position = 500
2023-04-18 16:07:20.577 	Info 	38290024 	Waiting
2023-04-18 16:07:21.127 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:21.140 	Info 	38290024-2 	MoveToPosition Requested 	Position = 508
2023-04-18 16:07:21.201 	Info 	38290024 	Waiting
2023-04-18 16:07:21.706 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:21.709 	Info 	38290024-2 	MoveToPosition Requested 	Position = 516
2023-04-18 16:07:21.764 	Info 	38290024 	Waiting
2023-04-18 16:07:22.285 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:22.304 	Info 	38290024-2 	MoveToPosition Requested 	Position = 524
2023-04-18 16:07:22.354 	Info 	38290024 	Waiting
2023-04-18 16:07:22.871 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:22.887 	Info 	38290024-2 	MoveToPosition Requested 	Position = 532
2023-04-18 16:07:22.944 	Info 	38290024 	Waiting
2023-04-18 16:07:23.458 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:23.467 	Info 	38290024-2 	MoveToPosition Requested 	Position = 540
2023-04-18 16:07:23.526 	Info 	38290024 	Waiting
2023-04-18 16:07:24.050 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:24.058 	Info 	38290024-2 	MoveToPosition Requested 	Position = 548
2023-04-18 16:07:24.127 	Info 	38290024 	Waiting
2023-04-18 16:07:24.654 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:24.669 	Info 	38290024-2 	MoveToPosition Requested 	Position = 556
2023-04-18 16:07:24.732 	Info 	38290024 	Waiting
2023-04-18 16:07:25.254 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:25.266 	Info 	38290024-2 	MoveToPosition Requested 	Position = 564
2023-04-18 16:07:25.339 	Info 	38290024 	Waiting
2023-04-18 16:07:25.845 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:25.849 	Info 	38290024-2 	MoveToPosition Requested 	Position = 572
2023-04-18 16:07:25.901 	Info 	38290024 	Waiting
2023-04-18 16:07:26.428 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:26.436 	Info 	38290024-2 	MoveToPosition Requested 	Position = 580
2023-04-18 16:07:26.512 	Info 	38290024 	Waiting
2023-04-18 16:07:27.033 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:27.037 	Info 	38290024-2 	MoveToPosition Requested 	Position = 588
2023-04-18 16:07:27.088 	Info 	38290024 	Waiting
2023-04-18 16:07:27.611 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:27.616 	Info 	38290024-2 	MoveToPosition Requested 	Position = 596
2023-04-18 16:07:27.711 	Info 	38290024 	Waiting
2023-04-18 16:07:28.226 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:28.230 	Info 	38290024-2 	MoveToPosition Requested 	Position = 604
2023-04-18 16:07:28.291 	Info 	38290024 	Waiting
2023-04-18 16:07:28.812 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:28.816 	Info 	38290024-2 	MoveToPosition Requested 	Position = 612
2023-04-18 16:07:28.912 	Info 	38290024 	Waiting
2023-04-18 16:07:29.430 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:29.437 	Info 	38290024-2 	MoveToPosition Requested 	Position = 621
2023-04-18 16:07:29.490 	Info 	38290024 	Waiting
2023-04-18 16:07:30.003 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:30.006 	Info 	38290024-2 	MoveToPosition Requested 	Position = 629
2023-04-18 16:07:30.073 	Info 	38290024 	Waiting
2023-04-18 16:07:30.593 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:30.602 	Info 	38290024-2 	MoveToPosition Requested 	Position = 637
2023-04-18 16:07:30.658 	Info 	38290024 	Waiting
2023-04-18 16:07:31.176 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
